OBJECTID,CAPTURE_ACCURACY,EQUIPMENT,DESCRIPTION,STATUS,OBJECT_TYPE_DESCRIPTION,Shape__Length,GlobalID
747,6,100045101,Deer Spur to Little Mt Peel Tk,OPEN,Tramping Track,4074.94873050734,96d5221b-e2f7-4f9d-8a78-76783dda559c
748,6,100045102,South Ridge Route,OPEN,Route,2880.78355501487,8f319ef1-0eba-4c7c-99c7-7343e956680d
749,6,100045103,Mt Nimrod Track,OPEN,Tramping Track,3647.23482064156,1f62f9fc-2ba4-4778-809b-2af68b8a712f
750,6,100045104,Avalanche Peak Track,OPEN,Tramping Track,2616.18348694186,4acf38f9-46de-4f45-b9ac-b777f0c2d190
751,6,100045105,Scotts Track,OPEN,Tramping Track,3060.1412130172,62da8e5d-7814-4e3d-9c82-c39316872261
752,2,100045106,Mt Aicken Track,OPEN,Tramping Track,1246.77196278059,ddb2ec24-fa8c-4c10-9cfc-1a9ce6429020
753,6,100045107,Temple Basin Track,OPEN,Tramping Track,2095.94539293671,5355d93d-8414-4c80-9cb9-599609d943c4
754,6,100045108,Otira Valley Track,OPEN,Tramping Track,1635.6918376202,7b69791f-6f62-4038-b81c-8d3c18fa2d96
755,6,100045109,Rolleston River Route NM,OPEN,Route,3632.88713041472,278a353e-80f3-4e53-a84c-87f9335cf6a4
756,6,100045110,Deception Valley Route,OPEN,Route,14011.5583703997,16ed5f67-3fd4-4307-b42f-29246fc7aca4
757,6,100045111,Morrison Bridge to Pfeifer Ck FloodTrack,OPEN,Tramping Track,4595.53194040648,a1d00a46-af5a-4a72-8dcb-88620295a699
758,6,100045112,MANGAONE CAVES WALKING TRACK,OPEN,Walking Track,574.409898880131,f647ba81-904e-49cf-9e07-36b9eef77a48
759,6,100045113,BALLS CLEARING TKS,OPEN,Walking Track,977.809696307305,e0a334bf-b39c-4d43-a06d-6444874a304d
760,6,100045115,WILLIAM HARTREE MEMORIAL SR TK,OPEN,Walking Track,1084.33355722945,847e387a-30cc-4e1f-ac24-7df56905847b
761,6,100045117,Campsite to Beach,OPEN,Walking Track,14376.7747538172,000c8ea2-2857-4313-a9de-f3c58aa10425
762,6,100045118,WAIPATIKI W/WAY,OPEN,Tramping Track,2398.26278065194,85a48cb1-3e6f-42fc-bdb7-cfcb23b47812
763,6,100045119,WHITE PINE BUSH PATH,OPEN,Short Walk(disabled),467.831217159346,bd276dd7-91b6-4652-acff-783b0cf8e7db
764,6,100045120,WHITE PINE BUSH WALK,OPEN,Walking Track,687.788235838422,151bb8fa-c6dd-4db2-92c7-189032a2b312
765,6,100045122,WHAKAMAHARATANGA W/WAY,OPEN,Walking Track,1183.01831652745,0d5b76be-155a-4d01-9132-0c44ad2ba90d
766,6,100045123,ELSTHORPE WALK,OPEN,Walking Track,1465.69230593442,42c6fc83-f02b-431b-9070-5b5c39e1bf8c
767,2,100045124,TRACK - OCEAN BEACH STH,OPEN,Walking Track,1074.1281312777,761c77d7-1616-40e9-9bfa-cab56ce7c5e1
768,5,100045125,STOCKYARD COVE TK,OPEN,Tramping Track,1100.64698881746,647abc5e-42c4-439c-ad2a-9faa433c4bc0
769,5,100045126,WILSON'S RIVER TRAMWAY,OPEN,Track - historic,7465.75890409199,4ac56b63-fc0f-4f1e-99dc-9e44606e78ef
770,2,100045128,Denniston Historic Walks,OPEN,Walking Track,1190.43682701734,e636f700-9840-450d-afce-0c68ecfa6132
771,2,100045129,TRACK - MID JUNCTION-BOULDER-WEST END CI,OPEN,Walking Track,2741.61392327758,c3985001-8ca0-42d7-ba8a-e74901623f7a
772,2,100045131,MT CRICHTON LOOP TK,OPEN,Walking Track,6391.74656905305,98ed1589-c464-4667-8b5e-6df9ccbbc4a8
773,2,100045132,LAKE DISPUTE W/WAY,OPEN,Walking Track,2847.83910216264,685b2e04-64b6-438e-9f6f-08f4e8b146a0
774,2,100045134,OXENBRIDGE TUNNEL TK,OPEN,Walking Track,587.950289331241,780f743f-a68a-477c-b975-0f92d1a4be12
775,6,100045142,Makara Road End to Opau Stream mouth,OPEN,Walking Track,167.539694553787,984e86c6-b21b-481c-bea8-59ec9d19a232
776,6,100045143,TOKOMARU VALLEY/BURTTONS TRACK,OPEN,Tramping Track,12803.3264222106,9aca6fb5-ae8a-4c4b-9c7b-2e7ee21cd2af
777,6,100045146,HOLDSWORTH LOOKOUT TRACK,OPEN,Tramping Track,635.383377407122,596ef4d0-c2c5-4c1f-9cda-94061b4c7cb3
778,6,100045160,Pfeifer Creek to Harper Pass Track,OPEN,Tramping Track,23641.8390524515,b1dfbf98-f810-4229-a994-861f8bede627
779,6,100045162,Woolshed Hill Track,OPEN,Tramping Track,2058.78325670582,cce0e1c5-4eaa-4037-a765-fd71ce338d7c
780,6,100045163,Crow Valley Track,OPEN,Tramping Track,6126.32780038539,1222d4d4-52c9-4056-974b-1e67a6727057
781,6,100045164,Bealey Bridge to Anti Crow Hut Track,OPEN,Tramping Track,4138.01656498565,6c943613-7b44-4880-8bd2-385bdc56d376
782,5,100045165,Cass - Lagoon Saddle Track Coral Lynn Ro,OPEN,Tramping Track,5778.84252178141,e4bcf717-7d3e-46f9-b1c1-9a5076353253
783,5,100045166,Cass Lagoon Saddle Track- Lagoon Saddle,OPEN,Tramping Track,15133.1056240535,9047b463-0a86-43cb-95e0-26162353a016
784,4,100045167,Cass Lagoon Saddle Track: SH73 to Cass,OPEN,Tramping Track,10768.7094294681,058b182d-c7f0-4306-bb8f-312e27ad9039
785,2,100045172,Porters Hut to R. Branch Motueka River,OPEN,Route,6502.13846949004,0387493d-9dd6-40b5-a77d-b7bbc7ebe5e9
786,2,100045173,Inwoods /Gordons Range Route,OPEN,Route,7738.64851127214,523cb3e9-7857-4c06-b634-cba2110ff1f6
787,2,100045174,Mt Ellis bushline to Left Branch Mot Riv,OPEN,Route,3616.90613505521,d5704381-b68c-4ec7-b4bf-86714c248c44
788,6,100045175,ROBERT RIDGE ROUTE,OPEN,Tramping Track,9160.86255334164,2bb4dd8d-afb8-4628-be3e-7fa7ee36cb25
789,2,100045177,Cape Wanbrow Walking Track,OPEN,Walking Track,340.363313286752,8c598573-70b7-42b7-a303-e244bf120b12
790,6,100045196,Bushy Beach Viewing Walking Track,OPEN,Walking Track,228.156585673495,ddb89dbf-83b1-440b-9082-022303c3cc8f
791,6,100045197,Hawksbury Lagoon / Matainaka Walk,OPEN,Walking Track,1401.4745243563,75400511-bbf6-4436-a91d-94f13cc60fdc
792,2,100045198,Huriawa Pa Walking Track,OPEN,Walking Track,955.570482533494,f75d6f43-09d6-457e-857c-2573e7e170df
